id	start	end
5’ UTR	117480025	117480094
exon1	117480095	117480147
exon2	117504253	117504363
exon3	117509034	117509142
exon4	117530899	117531114
exon5	117534276	117534365
exon6	117535248	117535411
exon7	117536548	117536673
exon8	117540100	117540346
exon9	117542016	117542108
exon10	117548641	117548823
exon11	117559464	117559655
exon12	117587739	117587833
exon13	117590353	117590439
exon14	117591934	117592657
exon15	117594930	117595058
exon16	117602826	117602863
exon17	117603532	117603782
exon18	117606674	117606753
exon19	117610519	117610669
exon20	117611581	117611808
exon21	117614613	117614713
exon22	117627522	117627770
exon23	117642438	117642593
exon24	117652842	117652931
exon25	117664688	117664860
exon26	117665459	117665564
exon27	117666908	117667108
3’ UTR	117667109	117668665
